domain_extension,price,renewal
.energy,81.18,81.18
.engineer,27.18,27.18
.engineering,46.18,46.18
.enterprises,27.18,27.18
.equipment,17.18,17.18
.esq,20.18,20.18
.estate,27.18,27.18
.events,30.18,30.18
.exchange,27.18,27.18
.expert,42.18,42.18
.exposed,15.18,15.18
.express,27.18,27.18
.fail,25.18,25.18
.faith,10.16,10.16
.family,27.18,27.18
.fan,38.18,38.18
.fans,8.18,8.18
.farm,27.18,27.18
.fashion,22.18,22.18
.feedback,300.18,300.18
.finance,45.18,45.18
.financial,40.18,40.18
.fish,30.18,30.18
.fishing,22.18,22.18
.fit,22.18,22.18
.fitness,28.18,28.18
.flights,40.18,40.18
.florist,25.18,25.18
.flowers,100.0,100.0
.fm,85.0,85.0
.foo,10.18,10.18
.football,18.18,18.18
.forex,30.18,30.18
.forsale,25.18,25.18
.forum,30.18,30.18
.foundation,21.68,21.68
.fun,25.18,25.18
.fund,49.18,49.18
.furniture,80.18,80.18
.futbol,13.18,13.18
.fyi,5.18,5.18
.gallery,19.18,19.18
.game,300.18,300.18
.games,23.18,23.18
.garden,22.18,22.18
.gifts,25.18,25.18
.gives,21.68,21.68
.glass,44.18,44.18
.global,64.18,64.18
.gmbh,28.18,28.18
.gold,75.18,75.18
.golf,45.18,45.18
.graphics,18.18,18.18
.gratis,16.18,16.18
.green,57.18,57.18
.gripe,23.18,23.18
.group,18.18,18.18
.guide,29.18,29.18
.guitars,100.18,100.18
.guru,29.18,29.18
.haus,23.18,23.18
.health,50.18,50.18
.healthcare,60.18,60.18
.help,22.18,22.18
.hockey,41.18,41.18
.holdings,45.18,45.18
.holiday,44.18,44.18
.horse,22.18,22.18
.hospital,44.18,44.18
.host,75.18,75.18
.hosting,300.18,300.18
.house,31.18,31.18
.how,20.18,20.18
.icu,12.18,12.18
.immo,24.18,24.18
.immobilien,26.18,26.18
.inc,2000.18,2000.18
.industries,32.18,32.18
.info,19.18,19.18
.ink,19.18,19.18
.institute,19.18,19.18
.insure,50.18,50.18
.international,22.18,22.18
.investments,90.18,90.18
.io,45.0,45.0
.irish,15.18,15.18
.jetzt,16.18,16.18
.jewelry,45.18,45.18
.kaufen,23.18,23.18
.kim,15.18,15.18
.kitchen,45.18,45.18
.land,28.18,28.18
.lawyer,43.18,43.18
.lease,38.18,38.18
.legal,49.18,49.18
.lgbt,56.18,56.18
.life,26.18,26.18
.lighting,18.18,18.18
.limited,25.18,25.18
.limo,38.18,38.18
.link,7.18,7.18
.live,23.18,23.18
.loan,4.16,5.16
.loans,80.18,80.18
.lol,20.18,20.18
.love,20.18,20.18
.ltd,21.18,21.18
.luxe,15.18,15.18
.maison,41.18,41.18
.management,18.18,18.18
.market,32.18,32.18
.marketing,28.18,28.18
.markets,12.18,12.18
.mba,27.18,27.18
.me,15.79,15.79
.me.uk,5.21,5.21
.media,32.18,32.18
.memorial,35.68,35.68
.men,4.16,5.16
.miami,15.18,15.18
.mobi,30.18,30.18
.moda,28.18,28.18
.mom,25.18,25.18
.money,27.18,27.18
.monster,10.18,10.18
.mortgage,43.18,43.18
.mov,10.18,10.18
.movie,230.18,230.18
.navy,28.18,28.18
.net,11.84,11.84
.net.ai,70.0,70.0
.net.co,10.0,10.0
.network,24.18,24.18
.new,400.18,400.18
.news,23.18,23.18
.nexus,10.18,10.18
.ngo,15.18,15.18
.ninja,21.18,21.18
.nom.co,10.0,10.0
.observer,9.18,9.18
.off.ai,70.0,70.0
.ong,15.18,15.18
.online,25.18,25.18
.org,7.5,10.11
.org.ai,70.0,70.0
.org.uk,5.21,5.21
.organic,59.18,59.18
.page,10.18,10.18
.partners,49.18,49.18
.parts,28.18,28.18
.party,4.16,5.16
.pet,17.68,17.68
.phd,20.18,20.18
.photography,25.18,25.18
.photos,19.18,19.18
.pics,20.18,20.18
.pictures,10.18,10.18
.pink,17.68,17.68
.pizza,45.18,45.18
.place,15.18,15.18
.plumbing,50.18,50.18
.plus,32.18,32.18
.porn,85.18,85.18
.press,59.18,59.18
.pro,19.18,19.18
.productions,28.18,28.18
.prof,20.18,20.18
.promo,17.18,17.18
.properties,27.18,27.18
.protection,2000.18,2000.18
.pub,28.18,28.18
.racing,10.16,10.16
.realty,280.18,280.18
.recipes,55.18,55.18
.red,16.18,16.18
.rehab,25.18,25.18
.reise,66.18,66.18
.reisen,14.18,14.18
.rent,45.18,45.18
.rentals,31.18,31.18
.repair,25.18,25.18
.report,17.18,17.18
.republican,25.18,25.18
.rest,25.18,25.18
.restaurant,44.18,44.18
.review,10.16,10.16
.reviews,43.18,43.18
.rip,16.18,16.18
.rocks,15.18,15.18
.rodeo,7.18,7.18
.rsvp,10.18,10.18
.run,18.18,18.18
.sale,27.18,27.18
.salon,44.18,44.18
.sarl,23.18,23.18
.school,25.18,25.18
.schule,20.18,20.18
.science,10.16,10.16
.security,2000.18,2000.18
.select,22.18,22.18
.services,28.18,28.18
.sex,85.18,85.18
.sh,45.0,45.0
.shoes,44.18,44.18
.shop,30.18,30.18
.shopping,23.18,23.18
.show,30.18,30.18
.singles,23.18,23.18
.site,25.18,25.18
.ski,46.18,46.18
.soccer,17.18,17.18
.social,27.18,27.18
.software,27.18,27.18
.solar,44.18,44.18
.solutions,22.18,22.18
.soy,18.18,18.18
.space,20.18,20.18
.storage,500.18,500.18
.store,40.18,40.18
.stream,4.16,5.16
.studio,31.18,31.18
.style,27.18,27.18
.supplies,17.18,17.18
.supply,18.18,18.18
.support,19.18,19.18
.surf,22.18,22.18
.surgery,38.18,38.18
.systems,24.18,24.18
.tax,49.18,49.18
.taxi,45.18,45.18
.team,26.18,26.18
.tech,45.18,45.18
.technology,20.18,20.18
.tennis,46.18,46.18
.theater,44.18,44.18
.theatre,500.18,500.18
.tienda,41.18,41.18
.tips,21.18,21.18
.tires,70.18,70.18
.today,20.18,20.18
.tools,25.18,25.18
.tours,44.18,44.18
.town,26.18,26.18
.toys,45.18,45.18
.trade,4.16,5.16
.trading,14.18,14.18
.training,28.18,28.18
.travel,100.18,100.18
.tv,25.0,25.0
.uk,5.21,5.21
.university,43.18,43.18
.uno,15.18,15.18
.us,6.5,6.5
.vacations,27.18,27.18
.ventures,41.18,41.18
.vet,29.18,29.18
.viajes,35.18,35.18
.video,25.18,25.18
.villas,42.68,42.68
.vin,41.18,41.18
.vip,12.18,12.18
.vision,27.18,27.18
.vodka,22.18,22.18
.voyage,41.18,41.18
.watch,30.18,30.18
.webcam,10.16,10.16
.website,20.18,20.18
.wedding,22.18,22.18
.wiki,19.18,19.18
.win,4.16,5.16
.wine,41.18,41.18
.work,7.18,7.18
.works,27.18,27.18
.world,29.18,29.18
.wtf,25.18,25.18
.xxx,85.18,85.18
.xyz,11.18,11.18
.yoga,22.18,22.18
.zone,27.18,27.18
